"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2022","9.80","9.81","9.90","9.55","102.00K","-0.51%"
"07/19/2022","9.85","9.91","9.92","9.85","17.50K","-2.76%"
"07/18/2022","10.13","10.00","10.13","9.95","52.00K","0.40%"
"07/15/2022","10.09","10.26","10.30","10.00","443.50K","-1.08%"
"07/14/2022","10.20","10.30","10.39","10.20","234.50K","-0.97%"
"07/13/2022","10.30","10.04","10.30","10.04","89.50K","0.59%"
"07/07/2022","10.24","10.11","10.25","10.01","289.50K","2.40%"
"07/06/2022","10.00","10.28","10.28","10.00","637.50K","-0.99%"
"07/05/2022","10.10","10.43","10.43","10.01","95.50K","0.00%"
"07/04/2022","10.10","10.40","10.40","10.10","41.50K","-1.37%"
"07/01/2022","10.24","10.05","10.53","10.04","318.50K","-0.49%"
"06/30/2022","10.29","10.43","10.43","10.17","30.00K","1.48%"
"06/29/2022","10.14","10.37","10.38","10.11","727.50K","-0.10%"
"06/28/2022","10.15","10.38","10.45","10.11","92.50K","-0.98%"
"06/27/2022","10.25","9.77","10.44","9.77","1.42M","1.99%"
"06/24/2022","10.05","10.70","11.00","9.80","1.89M","-6.51%"
"06/23/2022","10.75","10.36","10.95","10.36","260.00K","2.38%"
"06/22/2022","10.50","10.51","10.74","10.41","316.50K","-1.41%"
"06/21/2022","10.65","10.33","10.67","10.05","595.50K","4.41%"
"06/20/2022","10.20","10.42","10.48","10.11","510.00K","-1.07%"
"06/17/2022","10.31","10.01","10.48","9.99","401.00K","3.51%"
"06/16/2022","9.96","10.01","10.10","9.96","88.50K","-0.40%"
"06/15/2022","10.00","10.10","10.30","9.99","834.50K","0.30%"
"06/14/2022","9.97","9.90","10.16","9.90","49.50K","-0.20%"
"06/13/2022","9.99","10.01","10.05","9.94","1.78M","-2.06%"
"06/10/2022","10.20","9.99","10.25","9.90","135.00K","3.03%"
"06/09/2022","9.90","9.99","10.05","9.90","194.50K","0.92%"
"06/08/2022","9.81","9.77","10.15","9.75","350.00K","-0.91%"
"06/07/2022","9.90","10.00","10.00","9.80","211.50K","-1.00%"
"06/06/2022","10.00","9.90","10.10","9.75","239.00K","2.46%"
"06/03/2022","9.76","10.49","10.49","9.76","1.32M","-6.15%"
"06/02/2022","10.40","11.00","11.00","10.35","1.13M","-4.50%"
"06/01/2022","10.89","11.20","11.40","10.79","473.50K","-2.07%"
"05/31/2022","11.12","11.10","11.30","11.00","97.00K","-0.71%"
"05/30/2022","11.20","11.25","11.35","11.11","97.00K","0.63%"
"05/27/2022","11.13","11.01","11.60","11.01","604.00K","2.49%"
"05/26/2022","10.86","10.70","11.24","10.52","616.50K","0.09%"
"05/25/2022","10.85","10.40","11.00","10.23","298.00K","3.33%"
"05/24/2022","10.50","10.55","10.58","10.50","9.00K","0.77%"
"05/23/2022","10.42","10.51","10.83","10.42","62.50K","-3.52%"
"05/20/2022","10.80","10.70","10.85","10.67","34.50K","-0.46%"
"05/19/2022","10.85","10.99","11.00","10.75","112.50K","0.46%"
"05/18/2022","10.80","10.70","10.93","10.50","148.00K","2.96%"
"05/17/2022","10.49","10.41","10.75","10.30","194.00K","-0.10%"
"05/16/2022","10.50","10.81","10.82","10.40","127.00K","-4.55%"
"05/13/2022","11.00","10.93","11.05","10.60","166.50K","1.85%"
"05/12/2022","10.80","10.45","10.85","10.27","161.50K","1.89%"
